Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping days,latitude,longitude
Standard Class,Consumer,Portland,Oregon,97206.0,West,Furniture,Furnishings,182.745,1.0,0.7,7.803599999999999,4.0,45.48,-122.6
Standard Class,Consumer,Portland,Oregon,97206.0,West,Furniture,Furnishings,291.168,4.0,0.2,-14.5584,4.0,45.48,-122.6
Standard Class,Consumer,Irving,Texas,75061.0,Central,Technology,Phones,88.776,3.0,0.2,7.7679,5.0,32.83,-96.97
Standard Class,Home Office,Cleveland,Ohio,44105.0,East,Technology,Phones,110.376,4.0,0.4,-20.2356,5.0,41.45,-81.63
Standard Class,Home Office,Cleveland,Ohio,44105.0,East,Technology,Phones,55.176,3.0,0.2,15.8631,5.0,41.45,-81.63
Standard Class,Consumer,Waterloo,Iowa,50701.0,Central,Office Supplies,Binders,30.32,4.0,0.0,11.8248,6.0,42.49,-92.35
Same Day,Consumer,Seattle,Washington,98105.0,West,Furniture,Furnishings,177.568,2.0,0.2,8.8784,0.0,47.66,-122.29
Same Day,Consumer,Seattle,Washington,98105.0,West,Office Supplies,Paper,19.44,3.0,0.0,9.3312,4.0,47.66,-122.29
Same Day,Consumer,Seattle,Washington,98105.0,West,Office Supplies,Binders,71.28,11.0,0.0,34.2144,0.0,47.66,-122.29
Standard Class,Consumer,Seattle,Washington,98105.0,West,Office Supplies,Binders,1471.96,5.0,0.2,459.9875,0.0,47.66,-122.29
Same Day,Consumer,Seattle,Washington,98105.0,West,Technology,Phones,79.96,5.0,0.2,-17.991,4.0,47.66,-122.29
Standard Class,Corporate,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,57.576,3.0,0.2,21.591,4.0,40.03,-75.12
Standard Class,Consumer,New York City,New York,10009.0,East,Office Supplies,Binders,26.336,4.0,0.2,9.2176,7.0,40.73,-73.98
Standard Class,Consumer,San Jose,California,95123.0,West,Furniture,Furnishings,182.745,3.0,0.0,21.645,4.0,37.23,-121.82
Standard Class,Consumer,San Jose,California,95196.0,West,Furniture,Storage,360.38,2.0,0.0,7.803599999999999,4.0,37.33,-121.89
Second Class,Consumer,Los Angeles,California,90008.0,West,Office Supplies,Binders,11.744,1.0,0.2,3.8168,3.0,34.01,-118.35
Second Class,Corporate,Concord,New Hampshire,3301.0,East,Furniture,Furnishings,247.44,8.0,0.0,101.4504,3.0,43.23,-71.56
Standard Class,Home Office,Columbia,Tennessee,38401.0,South,Office Supplies,Binders,18.24,2.0,0.7,-14.592,4.0,35.62,-87.04
Standard Class,Home Office,Bellevue,Washington,98015.0,West,Office Supplies,Binders,25.35,3.0,0.0,7.605,4.0,47.61,-122.2
Standard Class,Home Office,Seattle,Washington,98105.0,West,Office Supplies,Binders,26.968,6.0,0.0,30.9504,5.0,47.66,-122.29
Standard Class,Home Office,Seattle,Washington,98105.0,West,Furniture,Furnishings,22.14,3.0,0.0,7.803599999999999,4.0,47.66,-122.29
Standard Class,Home Office,Seattle,Washington,98105.0,West,Technology,Phones,13.98,2.0,0.2,25.1916,4.0,47.66,-122.29
Standard Class,Consumer,Columbus,Indiana,47201.0,Central,Office Supplies,Binders,43.41,1.0,0.0,19.9686,6.0,39.21,-85.91
Standard Class,Consumer,Columbus,Indiana,47201.0,Central,Furniture,Furnishings,6.24,3.0,0.0,2.6208,6.0,39.21,-85.91
Standard Class,Consumer,Columbus,Indiana,47201.0,Central,Office Supplies,Binders,465.16,2.0,0.0,120.9416,6.0,39.21,-85.91
Standard Class,Consumer,Columbus,Indiana,47201.0,Central,Office Supplies,Binders,7.98,1.0,0.0,3.99,6.0,39.21,-85.91
First Class,Consumer,Chicago,Illinois,60623.0,Central,Office Supplies,Binders,26.968,1.0,0.8,-6.3441,2.0,41.85,-87.72
Same Day,Home Office,Marietta,Georgia,30062.0,South,Office Supplies,Binders,58.32,9.0,0.0,27.9936,4.0,34.0,-84.47
Same Day,Home Office,Marietta,Georgia,30090.0,South,Technology,Phones,200.97,3.0,0.0,50.2425,0.0,33.95,-84.55
Standard Class,Corporate,Montgomery,Alabama,36116.0,South,Furniture,Furnishings,182.745,8.0,0.0,8.1168,6.0,32.27,-86.21
Standard Class,Corporate,Plano,Texas,75023.0,Central,Office Supplies,Binders,9.856,4.0,0.2,3.4496,6.0,33.06,-96.73
Second Class,Home Office,Fort Lauderdale,Florida,33319.0,South,Office Supplies,Binders,3.444,1.0,0.7,-2.5256,2.0,26.18,-80.23
Second Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Binders,384.592,2.0,0.2,-81.7258,4.0,40.09,-82.98
Second Class,Consumer,New York City,New York,10009.0,East,Office Supplies,Envelopes,22.92,3.0,0.0,11.2308,2.0,40.73,-73.98
Second Class,Consumer,Richmond,Indiana,47374.0,Central,Office Supplies,Binders,11.36,4.0,0.0,6.8824000000000005,4.0,39.82,-84.88
Standard Class,Consumer,Seattle,Washington,98115.0,West,Office Supplies,Binders,14.592,3.0,0.2,4.9248,6.0,47.68,-122.28
Standard Class,Corporate,Long Beach,New York,11561.0,East,Office Supplies,Binders,26.968,4.0,0.0,19.872,4.0,40.59,-73.65
Standard Class,Corporate,Columbus,Georgia,31907.0,South,Office Supplies,Binders,34.5,3.0,0.0,15.525,5.0,32.51,-84.87
Same Day,Consumer,Tulsa,Oklahoma,74133.0,Central,Office Supplies,Binders,28.85,5.0,0.0,14.425,0.0,36.04,-95.88
Standard Class,Consumer,Nashville,Tennessee,37211.0,South,Office Supplies,Binders,26.968,2.0,0.2,1.1772,5.0,36.07,-86.72
Standard Class,Consumer,Nashville,Tennessee,37211.0,South,Office Supplies,Binders,143.856,9.0,0.2,48.5514,5.0,36.07,-86.72
Second Class,Home Office,Cambridge,Massachusetts,2138.0,East,Technology,Phones,311.98,2.0,0.0,93.594,3.0,42.38,-71.14
Second Class,Home Office,Cambridge,Massachusetts,2138.0,East,Office Supplies,Binders,22.45,5.0,0.0,10.327,4.0,42.38,-71.14
Standard Class,Corporate,Oakland,California,94601.0,West,Technology,Phones,39.992,1.0,0.2,-7.9984,4.0,37.77,-122.21
Standard Class,Corporate,Oakland,California,94601.0,West,Furniture,Furnishings,1159.056,3.831979695431472,0.2,43.4646,4.0,37.77,-122.21
First Class,Corporate,Palatine,Illinois,60067.0,Central,Technology,Phones,116.312,7.0,0.2,23.2624,1.0,42.11,-88.04
Second Class,Consumer,Seattle,Washington,98105.0,West,Furniture,Furnishings,12.42,3.831979695431472,0.0,4.4712,5.0,47.66,-122.29
Second Class,Consumer,Seattle,Washington,98199.0,West,Technology,Phones,428.4,3.0,0.2,89.964,4.0,47.65,-122.4
Second Class,Consumer,Seattle,Washington,98105.0,West,Furniture,Furnishings,24.75,5.0,0.0,10.89,5.0,47.66,-122.29
Second Class,Consumer,Seattle,Washington,98105.0,West,Office Supplies,Binders,87.71,7.0,0.0,41.2237,5.0,47.66,-122.29
Second Class,Consumer,Seattle,Washington,98105.0,West,Office Supplies,Binders,69.52,2.0,0.0,17.38,5.0,47.66,-122.29
Second Class,Consumer,Seattle,Washington,98105.0,West,Technology,Phones,20.784,2.0,0.2,-4.6764,5.0,47.66,-122.29
Second Class,Consumer,Seattle,Washington,98105.0,West,Office Supplies,Binders,26.968,3.0,0.2,6.8824000000000005,5.0,47.66,-122.29
Standard Class,Consumer,Cincinnati,Ohio,45231.0,East,Office Supplies,Binders,5.904,2.0,0.0,6.8824000000000005,4.0,39.25,-84.53
Standard Class,Consumer,Marion,Ohio,43302.0,East,Furniture,Furnishings,63.824,2.0,0.2,9.5736,6.0,40.58,-83.12
Standard Class,Consumer,Marion,Ohio,43302.0,East,Office Supplies,Binders,26.968,3.0,0.2,-26.541,6.0,40.58,-83.12
Standard Class,Corporate,Los Angeles,California,90049.0,West,Office Supplies,Binders,304.9,5.0,0.0,6.8824000000000005,4.0,34.08,-118.49
Standard Class,Corporate,Los Angeles,California,90049.0,West,Furniture,Furnishings,563.24,5.0,0.2,56.324,4.0,34.08,-118.49
Standard Class,Corporate,Lakewood,Ohio,44107.0,East,Furniture,Furnishings,661.176,2.0,0.4,-231.4116,5.0,41.48,-81.8
Standard Class,Home Office,Lebanon,Tennessee,37087.0,South,Technology,Phones,239.976,3.0,0.2,17.9982,4.0,36.2,-86.32
Standard Class,Consumer,San Francisco,California,94122.0,West,Furniture,Furnishings,502.488,3.0,0.2,-87.9354,4.0,37.76,-122.48
Standard Class,Corporate,San Francisco,California,94122.0,West,Office Supplies,Binders,196.704,6.0,0.2,68.8464,4.0,37.76,-122.48
Second Class,Home Office,Chico,California,95928.0,West,Furniture,Furnishings,182.745,4.0,0.2,102.9528,5.0,39.71,-121.81
Second Class,Home Office,Chico,California,95928.0,West,Furniture,Furnishings,182.745,8.0,0.0,91.7728,5.0,39.71,-121.81
First Class,Consumer,Salem,Virginia,24153.0,South,Furniture,Furnishings,701.96,2.0,0.0,168.4704,3.0,37.28,-80.05
Standard Class,Consumer,Los Angeles,California,90008.0,West,Technology,Phones,88.776,3.7777777777777777,0.2,7.7679,4.0,34.01,-118.35
Standard Class,Consumer,Los Angeles,California,90008.0,West,Office Supplies,Binders,64.14,3.0,0.0,16.6764,4.0,34.01,-118.35
Standard Class,Corporate,Beverly,Massachusetts,1915.0,East,Office Supplies,Binders,1737.18,6.0,0.0,503.7822,4.0,42.57,-70.87
Standard Class,Corporate,Beverly,Massachusetts,1915.0,East,Office Supplies,Binders,704.25,5.0,0.0,84.51,4.0,42.57,-70.87
Standard Class,Corporate,Beverly,Massachusetts,1915.0,East,Office Supplies,Binders,141.76,4.0,0.0,66.6272,4.0,42.57,-70.87
Standard Class,Corporate,San Diego,California,92024.0,West,Office Supplies,Binders,36.36,3.0,0.0,12.2715,5.0,33.05,-117.25
First Class,Home Office,San Francisco,California,94109.0,West,Furniture,Furnishings,25.83,3.0,0.0,9.5571,4.0,37.79,-122.42
Standard Class,Consumer,Chicago,Illinois,60701.0,Central,Office Supplies,Binders,24.588,3.0,0.8,-38.1114,6.0,41.83,-87.68
Standard Class,Consumer,Chicago,Illinois,60623.0,Central,Office Supplies,Binders,13.984,2.0,0.2,4.7196,6.0,41.85,-87.72
Standard Class,Consumer,Dallas,Texas,75220.0,Central,Technology,Phones,195.96,5.0,0.2,19.596,4.0,32.87,-96.88
Second Class,Home Office,Corpus Christi,Texas,78415.0,Central,Office Supplies,Binders,26.968,3.0,0.2,23.235,2.0,27.66,-97.48
Second Class,Corporate,Eugene,Oregon,97440.0,West,Office Supplies,Binders,17.584,7.0,0.2,-4.1762,2.0,44.05,-123.11
Second Class,Corporate,Eugene,Oregon,97405.0,West,Furniture,Furnishings,104.784,3.831979695431472,0.2,-14.4078,4.0,43.94,-123.19
Second Class,Corporate,Eugene,Oregon,97405.0,West,Office Supplies,Binders,47.952,3.0,0.2,16.7832,2.0,43.94,-123.19
Second Class,Corporate,Eugene,Oregon,97405.0,West,Furniture,Furnishings,650.352,3.0,0.2,-97.5528,4.0,43.94,-123.19
Second Class,Corporate,Eugene,Oregon,97405.0,West,Office Supplies,Binders,629.184,8.0,0.2,228.0792,2.0,43.94,-123.19
Second Class,Corporate,Eugene,Oregon,97405.0,West,Office Supplies,Binders,15.176,1.0,0.2,5.3116,4.0,43.94,-123.19
Standard Class,Consumer,Oxnard,California,93030.0,West,Furniture,Furnishings,182.745,3.0,0.0,21.7515,5.0,34.19,-119.17
Standard Class,Corporate,Fairfield,Connecticut,6824.0,East,Office Supplies,Binders,579.51,3.0,0.0,81.1314,5.0,41.13,-73.28
Standard Class,Corporate,Fairfield,Connecticut,6824.0,East,Technology,Phones,14.99,1.0,0.0,7.3451,5.0,41.13,-73.28
Standard Class,Corporate,Jackson,Michigan,49201.0,Central,Office Supplies,Binders,26.968,4.0,0.0,45.576,5.0,42.19,-84.3
Standard Class,Corporate,Jackson,Michigan,49201.0,Central,Office Supplies,Binders,196.62,2.0,0.0,96.3438,5.0,42.19,-84.3
Standard Class,Corporate,Jackson,Michigan,49201.0,Central,Office Supplies,Binders,144.12,3.0,0.0,69.1776,4.0,42.19,-84.3
Standard Class,Corporate,Jackson,Michigan,49201.0,Central,Office Supplies,Binders,15.96,2.0,0.0,7.98,4.0,42.19,-84.3
Second Class,Corporate,Laguna Niguel,California,92677.0,West,Technology,Phones,39.96,5.0,0.2,3.4965,4.0,33.53,-117.7
Second Class,Corporate,Laguna Niguel,California,92677.0,West,Office Supplies,Binders,34.08,3.770643976020112,0.0,15.336,4.0,33.53,-117.7
Standard Class,Corporate,Jacksonville,Florida,32216.0,South,Office Supplies,Binders,10.368,2.0,0.2,3.6288,4.0,30.28,-81.58
Standard Class,Corporate,Mount Vernon,New York,10550.0,East,Office Supplies,Binders,7.752,3.0,0.2,6.8824000000000005,4.0,40.91,-73.84
Standard Class,Home Office,Midland,Michigan,48686.0,Central,Office Supplies,Binders,15.28,2.0,0.0,7.4872,4.0,43.62,-84.22
Standard Class,Consumer,Newark,Delaware,19711.0,East,Technology,Machines,65.97,3.0,0.0,31.0059,6.0,39.71,-75.74
Standard Class,Corporate,San Francisco,California,94199.0,West,Office Supplies,Binders,33.4,5.0,0.0,16.032,4.0,37.77,-122.41
Standard Class,Corporate,San Francisco,California,94109.0,West,Office Supplies,Binders,26.968,4.0,0.0,103.3116,4.0,37.79,-122.42
Standard Class,Consumer,Westland,Michigan,48185.0,Central,Office Supplies,Binders,13.98,1.0,0.0,4.0542,6.0,42.33,-83.38
Standard Class,Consumer,Westland,Michigan,48185.0,Central,Furniture,Furnishings,272.94,3.0,0.0,30.0234,6.0,42.33,-83.38
Standard Class,Consumer,Westland,Michigan,48185.0,Central,Office Supplies,Binders,19.05,5.0,0.0,6.8824000000000005,6.0,42.33,-83.38
Standard Class,Consumer,Westland,Michigan,48185.0,Central,Office Supplies,Binders,247.716,4.0,0.1,93.5816,6.0,42.33,-83.38
Standard Class,Consumer,Westland,Michigan,48185.0,Central,Office Supplies,Binders,66.58,2.0,0.0,15.9792,4.0,42.33,-83.38
Standard Class,Consumer,Westland,Michigan,48185.0,Central,Office Supplies,Binders,26.968,3.0,0.0,6.8824000000000005,6.0,42.33,-83.38
Standard Class,Consumer,Westland,Michigan,48185.0,Central,Furniture,Furnishings,14.73,3.0,0.0,4.8609,6.0,42.33,-83.38
Standard Class,Consumer,Westland,Michigan,48185.0,Central,Office Supplies,Binders,29.7,5.0,0.0,13.365,4.0,42.33,-83.38
Standard Class,Consumer,New York City,New York,10011.0,East,Office Supplies,Binders,49.12,4.0,0.0,23.0864,4.0,40.74,-74.0
Standard Class,Consumer,New York,New York,10011.0,East,Office Supplies,Binders,18.28,5.0,0.2,6.8824000000000005,4.0,40.74,-74.0
Standard Class,Consumer,Los Angeles,California,90008.0,West,Furniture,Furnishings,47.04,4.0,0.0,15.9936,7.0,34.01,-118.35
Standard Class,Consumer,Los Angeles,California,90008.0,West,Technology,Phones,339.96,5.0,0.2,42.495,7.0,34.01,-118.35
Standard Class,Corporate,New York City,New York,10035.0,East,Technology,Phones,87.8,4.0,0.2,43.9,4.0,40.8,-73.93
Standard Class,Consumer,New York City,New York,10035.0,East,Furniture,Chairs,221.382,2.0,0.1,7.803599999999999,4.0,40.8,-73.93
Standard Class,Corporate,New York City,New York,10035.0,East,Technology,Phones,5199.96,4.0,0.0,1351.9896,4.0,40.8,-73.93
First Class,Consumer,Lancaster,Ohio,43130.0,East,Office Supplies,Binders,156.512,4.0,0.2,-35.2152,2.0,39.72,-82.59
Standard Class,Home Office,Newark,Delaware,19711.0,East,Technology,Phones,119.85,3.0,0.0,25.1916,3.0,39.71,-75.74
First Class,Home Office,Newark,Delaware,19711.0,East,Office Supplies,Binders,30.44,2.0,0.0,14.9156,3.0,39.71,-75.74
First Class,Home Office,Newark,Delaware,19711.0,East,Office Supplies,Binders,69.28,2.0,0.0,6.8824000000000005,3.0,39.71,-75.74
Standard Class,Home Office,Newark,Delaware,19711.0,East,Technology,Phones,587.97,3.0,0.0,170.5113,3.0,39.71,-75.74
Standard Class,Home Office,New York City,New York,10024.0,East,Office Supplies,Binders,24.55,5.0,0.0,12.0295,4.0,40.79,-73.97
Standard Class,Consumer,San Francisco,California,94109.0,West,Office Supplies,Binders,12.176,1.0,0.0,4.4138,5.0,37.79,-122.42
Standard Class,Consumer,San Francisco,California,94109.0,West,Furniture,Storage,37.32,3.0,0.0,10.4496,4.0,37.79,-122.42
Standard Class,Consumer,San Francisco,California,94109.0,West,Office Supplies,Binders,35.06,2.0,0.0,10.518,5.0,37.79,-122.42
Standard Class,Consumer,Dallas,Texas,75217.0,Central,Furniture,Furnishings,108.4,5.0,0.6,-105.69,5.0,32.71,-96.68
Standard Class,Corporate,Miami,Florida,33178.0,South,Technology,Phones,361.376,2.0,0.2,27.1032,5.0,25.85,-80.41
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,2.412,1.0,0.7,6.8824000000000005,4.0,40.03,-75.12
Standard Class,Corporate,New York City,New York,10011.0,East,Technology,Appliances,8.39,1.0,0.0,2.0975,6.0,40.74,-74.0
Standard Class,Corporate,New York City,New York,10011.0,East,Technology,Phones,337.98,2.0,0.0,25.1916,6.0,40.74,-74.0
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,83.92,5.0,0.2,-13.637,7.0,40.03,-75.12
Standard Class,Corporate,Seattle,Washington,98103.0,West,Office Supplies,Binders,19.68,5.0,0.2,6.888,4.0,47.67,-122.34
Standard Class,Corporate,Seattle,Washington,98103.0,West,Office Supplies,Binders,25.92,4.0,0.0,12.4416,4.0,47.67,-122.34
Standard Class,Corporate,Seattle,Washington,98103.0,West,Office Supplies,Paper,6.48,1.0,0.0,3.1104,4.0,47.67,-122.34
Standard Class,Corporate,Seattle,Washington,98103.0,West,Technology,Phones,86.352,6.0,0.2,8.6352,5.0,47.67,-122.34
Standard Class,Home Office,Los Angeles,California,90032.0,West,Office Supplies,Binders,56.3,2.0,0.0,15.764,5.0,34.08,-118.17
Standard Class,Consumer,Springfield,Oregon,97477.0,West,Office Supplies,Binders,51.016,7.0,0.2,6.8824000000000005,4.0,44.05,-123.0
Standard Class,Consumer,Renton,Washington,98059.0,West,Office Supplies,Binders,150.8,5.0,0.2,6.8824000000000005,4.0,47.49,-122.1
Standard Class,Consumer,Renton,Washington,98059.0,West,Technology,Phones,167.97,1.0,0.2,103.9992,4.0,47.49,-122.1
Standard Class,Consumer,Renton,Washington,98059.0,West,Office Supplies,Binders,51.84,3.770643976020112,0.0,24.8832,4.0,47.49,-122.1
First Class,Home Office,New York City,New York,10009.0,East,Technology,Phones,41.22,1.0,0.0,11.1294,1.0,40.73,-73.98
First Class,Home Office,New York City,New York,10009.0,East,Office Supplies,Binders,240.37,1.0,0.0,7.2111,1.0,40.73,-73.98
First Class,Home Office,New York City,New York,10009.0,East,Technology,Phones,119.02,2.0,0.0,33.3256,1.0,40.73,-73.98
Standard Class,Consumer,San Jose,California,95123.0,West,Office Supplies,Binders,133.12,5.0,0.2,49.92,4.0,37.23,-121.82
Standard Class,Corporate,Grand Prairie,Texas,75051.0,Central,Furniture,Furnishings,182.745,5.0,0.6,-29.512,4.0,32.73,-97.0
Same Day,Home Office,New York City,New York,10009.0,East,Furniture,Furnishings,182.745,2.0,0.2,12.7764,0.0,40.73,-73.98
Second Class,Home Office,New York City,New York,10009.0,East,Office Supplies,Binders,6.63,3.0,0.0,3.1161,2.0,40.73,-73.98
Standard Class,Corporate,Memphis,Tennessee,38109.0,South,Furniture,Furnishings,561.584,2.0,0.2,70.198,4.0,35.04,-90.16
Standard Class,Corporate,Memphis,Tennessee,38109.0,South,Office Supplies,Binders,99.92,5.0,0.2,6.8824000000000005,4.0,35.04,-90.16
First Class,Home Office,Philadelphia,Pennsylvania,19143.0,East,Office Supplies,Labels,26.968,2.0,0.2,1.7248,3.0,39.94,-75.23
Standard Class,Consumer,Los Angeles,California,90004.0,West,Furniture,Furnishings,14.76,2.0,0.0,4.2804,7.0,34.07,-118.31
Standard Class,Home Office,Waterbury,Connecticut,6708.0,East,Technology,Phones,99.99,1.0,0.0,41.9958,4.0,41.55,-73.07
Standard Class,Home Office,Waterbury,Connecticut,6708.0,East,Office Supplies,Binders,286.15,5.0,0.0,71.5375,4.0,41.55,-73.07
Standard Class,Home Office,Chandler,Arizona,85224.0,West,Office Supplies,Binders,49.792,8.0,0.2,-11.8256,5.0,33.32,-111.87
Standard Class,Consumer,Springfield,Ohio,45503.0,East,Furniture,Furnishings,299.975,3.831979695431472,0.5,7.803599999999999,4.0,39.96,-83.77
Standard Class,Consumer,Springfield,Ohio,45503.0,East,Technology,Phones,158.376,4.0,0.4,-36.9544,4.0,39.96,-83.77
First Class,Consumer,Austin,Texas,78745.0,Central,Office Supplies,Binders,32.784,4.0,0.8,-52.4544,3.0,30.21,-97.8
Standard Class,Consumer,Austin,Texas,78745.0,Central,Technology,Phones,47.984,2.0,0.2,14.3952,4.0,30.21,-97.8
First Class,Consumer,Austin,Texas,78745.0,Central,Technology,Phones,62.592,8.0,0.2,13.3008,4.0,30.21,-97.8
First Class,Consumer,Austin,Texas,78745.0,Central,Office Supplies,Binders,4.276,1.0,0.8,-6.6278,3.0,30.21,-97.8
Standard Class,Consumer,Detroit,Michigan,48288.0,Central,Office Supplies,Binders,10.56,2.0,0.0,4.752,5.0,42.38,-83.1
Standard Class,Consumer,Detroit,Michigan,48288.0,Central,Office Supplies,Binders,229.94,2.0,0.0,6.8982,5.0,42.38,-83.1
Standard Class,Corporate,Springfield,Virginia,22153.0,South,Office Supplies,Binders,311.15,5.0,0.0,146.2405,4.0,38.74,-77.24
Standard Class,Corporate,Springfield,Virginia,22153.0,South,Office Supplies,Binders,26.968,3.770643976020112,0.0,6.8824000000000005,4.0,38.74,-77.24
Standard Class,Consumer,New York City,New York,10011.0,East,Office Supplies,Paper,14.62,2.0,0.0,6.8824000000000005,5.0,40.74,-74.0
Standard Class,Consumer,New York City,New York,10011.0,East,Office Supplies,Binders,5.76,2.0,0.0,2.8224,5.0,40.74,-74.0
Standard Class,Consumer,New York City,New York,10011.0,East,Office Supplies,Binders,21.48,3.770643976020112,0.0,10.5252,5.0,40.74,-74.0
Standard Class,Consumer,New York City,New York,10011.0,East,Furniture,Furnishings,396.92,3.831979695431472,0.0,198.46,5.0,40.74,-74.0
Standard Class,Consumer,New York City,New York,10011.0,East,Office Supplies,Binders,17.15,1.0,0.0,4.6305,5.0,40.74,-74.0
Standard Class,Consumer,New York City,New York,10011.0,East,Office Supplies,Binders,23.12,2.0,0.2,7.803,5.0,40.74,-74.0
Standard Class,Home Office,Dallas,Texas,75398.0,Central,Office Supplies,Binders,26.968,2.0,0.2,0.5904,4.0,32.79,-96.76
Standard Class,Consumer,Concord,New Hampshire,3301.0,East,Technology,Phones,824.95,5.0,0.0,25.1916,4.0,43.23,-71.56
Standard Class,Home Office,Concord,New Hampshire,3301.0,East,Office Supplies,Binders,26.968,8.0,0.0,6.8824000000000005,6.0,43.23,-71.56
Standard Class,Home Office,Concord,New Hampshire,3301.0,East,Office Supplies,Binders,227.88,6.0,0.0,68.364,6.0,43.23,-71.56
First Class,Consumer,Lafayette,Louisiana,70506.0,South,Furniture,Furnishings,241.96,2.0,0.0,33.8744,1.0,30.2,-92.08
First Class,Consumer,Lafayette,Louisiana,70506.0,South,Office Supplies,Binders,3.89,1.0,0.0,1.8672,4.0,30.2,-92.08
First Class,Consumer,Lafayette,Louisiana,70506.0,South,Furniture,Furnishings,8.01,3.831979695431472,0.0,3.0438,1.0,30.2,-92.08
Standard Class,Consumer,Raleigh,North Carolina,27604.0,South,Technology,Phones,177.48,3.0,0.2,19.9665,5.0,35.82,-78.56
Standard Class,Corporate,Spokane,Washington,99207.0,West,Furniture,Furnishings,569.568,2.0,0.2,7.1196,2.0,47.69,-117.38
Second Class,Corporate,Spokane,Washington,99207.0,West,Furniture,Storage,149.73,7.0,0.0,43.4217,2.0,47.69,-117.38
First Class,Consumer,Houston,Texas,77041.0,Central,Furniture,Chairs,899.43,5.0,0.3,-12.849,4.0,29.86,-95.58
First Class,Consumer,Houston,Texas,77041.0,Central,Office Supplies,Binders,46.2,5.0,0.2,5.775,1.0,29.86,-95.58
First Class,Consumer,Houston,Texas,77041.0,Central,Office Supplies,Binders,47.952,3.0,0.2,16.1838,1.0,29.86,-95.58
Standard Class,Consumer,Houston,Texas,77041.0,Central,Technology,Phones,7.992,3.7777777777777777,0.2,0.6993,1.0,29.86,-95.58
First Class,Consumer,Houston,Texas,77041.0,Central,Office Supplies,Binders,76.864,2.0,0.2,26.9024,1.0,29.86,-95.58
Standard Class,Home Office,Louisville,Kentucky,40214.0,South,Office Supplies,Binders,102.93,3.0,0.0,48.3771,6.0,38.15,-85.78
Standard Class,Home Office,Louisville,Kentucky,40214.0,South,Technology,Phones,98.16,6.0,0.0,9.816,4.0,38.15,-85.78
Second Class,Home Office,Hollywood,Florida,33021.0,South,Office Supplies,Binders,11.52,3.770643976020112,0.7,-7.68,4.0,26.02,-80.19
Same Day,Corporate,Chandler,Arizona,85224.0,West,Office Supplies,Binders,83.88,1.0,0.2,29.358,0.0,33.32,-111.87
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Technology,Phones,108.576,4.0,0.4,-25.3344,4.0,40.03,-75.12
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,5.984,2.0,0.2,-1.3464,4.0,40.03,-75.12
Standard Class,Corporate,Tulsa,Oklahoma,74133.0,Central,Office Supplies,Binders,21.96,2.0,0.0,6.1488,5.0,36.04,-95.88
Standard Class,Corporate,Tulsa,Oklahoma,74133.0,Central,Furniture,Furnishings,368.97,3.0,0.0,81.1734,4.0,36.04,-95.88
Standard Class,Corporate,Tulsa,Oklahoma,74133.0,Central,Office Supplies,Binders,12.39,3.0,0.0,3.4692,5.0,36.04,-95.88
Standard Class,Corporate,Tulsa,Oklahoma,74133.0,Central,Furniture,Storage,332.94,3.831979695431472,0.0,9.9882,5.0,36.04,-95.88
Standard Class,Corporate,Draper,Utah,84020.0,West,Technology,Phones,111.93,3.7777777777777777,0.0,34.6983,6.0,40.49,-111.84
Standard Class,Home Office,Oakland,California,94601.0,West,Furniture,Furnishings,454.272,8.0,0.2,-73.8192,3.0,37.77,-122.21
Standard Class,Consumer,Lawrence,Massachusetts,1843.0,East,Office Supplies,Binders,19.44,3.770643976020112,0.0,9.3312,5.0,42.7,-71.16
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Technology,Phones,8399.976,4.0,0.4,1119.9968,4.0,40.03,-75.12
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,6.294,1.0,0.7,-4.196,4.0,40.03,-75.12
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Paper,10.368,2.0,0.2,3.6288,4.0,40.03,-75.12
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Technology,Phones,122.382,3.0,0.4,-24.4764,4.0,40.03,-75.12
Standard Class,Consumer,Jacksonville,North Carolina,28546.0,South,Office Supplies,Binders,25.984,2.0,0.2,-1.624,4.0,34.8,-77.36
Standard Class,Consumer,Jacksonville,North Carolina,28540.0,South,Furniture,Furnishings,945.036,6.0,0.4,-299.2614,4.0,34.76,-77.4
Standard Class,Consumer,Jacksonville,North Carolina,28540.0,South,Office Supplies,Binders,26.968,7.0,0.7,-10.4874,4.0,34.76,-77.4
Standard Class,Consumer,Jacksonville,North Carolina,28540.0,South,Furniture,Furnishings,410.352,3.0,0.2,-51.294,4.0,34.76,-77.4
Standard Class,Corporate,Chicago,Illinois,60610.0,Central,Office Supplies,Binders,23.52,5.0,0.2,8.526,5.0,41.91,-87.63
